Ámbito,Sector,Sexo,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 o más
Distrito,Centro,Varón,116952.987647635,6315.49783441724,5222.40393150057,5247.76968212745,7209.53575041158,12177.9496611135,13070.2184787764,11959.4606308315,8278.05848391709,6785.97140074435,6638.75817327618,6528.89406994014,6192.54422634284,5674.2960266563,4705.45944416062,3872.91832837362,3152.78567629763,2307.85238449562,1202.36151495327,321.744340325082,88.5076089745754
Distrito,Centro,Mujer,143131.537051495,6160.13177651909,5043.77043628955,5177.54750423422,7905.77847936457,13915.5819695273,13902.3340818815,12827.9373715786,9059.00994628497,7720.87786305571,7713.15453995488,8221.08673123693,8271.0250431212,7939.34939923366,6784.40406588821,6150.93839503781,5803.77163323962,5273.91646786352,3455.25865170431,1367.23881427295,438.42388120638
Distrito,Centro,Total,260084.52469913,12475.6296109363,10266.1743677901,10425.3171863617,15115.3142297761,26093.5316306408,26972.5525606579,24787.3980024101,17337.0684302021,14506.8492638001,14351.9127132311,14749.9808011771,14463.569269464,13613.64542589,11489.8635100488,10023.8567234114,8956.55730953725,7581.76885235913,4657.62016665757,1688.98315459803,526.931490180956
Distrito,Norte,Varón,70091.6281674559,5179.29466011461,4886.04655809042,5252.87327480432,5714.6057409006,5980.12856782432,5850.03304619904,5644.22619641479,4592.79845606622,4051.08923487243,4060.68644548413,3875.14037365791,3639.47553530393,3147.88508063791,2676.55540392993,2103.92183743177,1651.7865819472,1101.54650687634,504.386735481616,148.223586114048,30.9243453043697
Distrito,Norte,Mujer,76696.6417817754,4865.78578013238,4775.14545768854,5099.3179050171,5591.97471641775,5842.56854905661,5735.93287559327,5712.47302743133,4820.99879727778,4220.63995567915,4364.59811485466,4237.70166343328,4287.82042996106,3944.45356140909,3468.85845776258,2981.53343003509,2569.91973046659,2267.07441783069,1361.7375501269,431.874477526543,116.232884075045
Distrito,Norte,Total,146788.269949231,10045.080440247,9661.19201577895,10352.1911798214,11306.5804573183,11822.6971168809,11585.9659217923,11356.6992238461,9413.79725334399,8271.72919055158,8425.2845603388,8112.8420370912,7927.29596526498,7092.338642047,6145.41386169251,5085.45526746687,4221.70631241378,3368.62092470703,1866.12428560852,580.098063640591,147.157229379415
Distrito,Noroeste,Varón,88629.1173181037,7347.57368048637,7032.3407090449,7508.11037288212,8072.33542505972,7853.48393546934,7544.86641649692,7046.78031468172,5916.56464125426,5308.30813015946,5029.76797829383,4742.39373633108,4114.10385174685,3363.14826769092,2705.44332250159,2091.70762226089,1536.1056629202,874.224674086939,412.049795792861,109.922071964755,19.8867089789709
Distrito,Noroeste,Mujer,94158.4667465007,7199.92633207125,6923.53167325227,7364.92771685296,7864.95604374282,7888.71643445014,7219.69038806448,7316.07052442608,6121.81873307761,5433.75199379262,5251.05018406315,5125.81786239491,4668.65775668223,4026.78576760965,3319.03595489396,2766.55497962975,2473.83099800518,1791.70918943591,1024.92436517355,300.950482049568,75.7593668326137
Distrito,Noroeste,Total,182787.584064604,14547.5000125576,13955.8723822972,14873.0380897351,15937.2914688025,15742.2003699195,14764.5568045614,14362.8508391078,12038.3833743319,10742.0601239521,10280.818162357,9868.21159872598,8782.76160842908,7389.93403530057,6024.47927739555,4858.26260189065,4009.93666092538,2665.93386352285,1436.97416096641,410.872554014323,95.6460758115846
Distrito,Oeste,Varón,69817.1407007656,6381.60765701287,5968.31855865875,6478.3797647895,7129.87897992167,6705.47431963511,6018.90612855041,5739.99491236146,4376.56304967084,3725.00809585909,3641.50813422642,3413.07167604646,3083.21550585296,2412.64335903119,1685.2787558555,1287.97268284402,946.873977896495,531.09642826985,231.312578067875,55.3966402975496,4.63949591759819
Distrito,Oeste,Mujer,72615.2447400143,6273.3353679307,5790.18813376179,6235.19708730098,7052.07158151721,6647.27127824135,6170.7175072084,5663.62257910346,4376.9490281595,3888.34469274807,3877.5993761379,3665.90165514763,3087.67043111093,2566.22553418618,2116.94208750173,1843.19443734473,1517.93292432646,1101.35314732378,539.849275960416,164.821787971265,36.05682703186
Distrito,Oeste,Total,142432.38544078,12654.9430249436,11758.5066924205,12713.5768520905,14181.9505614389,13352.7455978765,12189.6236357588,11403.6174914649,8753.51207783034,7613.35278860715,7519.10751036432,7078.97333119409,6170.88593696389,4978.86889321737,3802.22084335723,3131.16712018875,2464.80690222296,1632.44957559363,771.161854028291,220.218428268815,40.6963229494582
Distrito,Sudoeste,Varón,60345.4522520777,4916.97193089279,4802.94899643993,4903.26830000922,5763.49834624724,5760.58013627202,5331.47036675617,5013.70031511384,3851.39955721674,3406.64160582593,3370.334568297,3085.70407261435,2920.51464629718,2321.75027610751,1711.42548208978,1378.00842449644,954.953057744222,564.181576526092,215.242036027786,63.2613464918084,9.59721061170094
Distrito,Sudoeste,Mujer,63079.9268549858,4786.3267030507,4437.23739923497,4994.87885039142,5668.68691532563,5531.47243589523,5192.69140298175,4863.68751272031,4077.42574259853,3513.71947054843,3563.71969169802,3348.77344667699,3123.55005157211,2711.65395049845,2125.34249810535,1807.40793629438,1496.65323108656,1076.86502867977,543.820532644473,170.800740921227,45.2133140614475
Distrito,Sudoeste,Total,123425.379107064,9703.29863394349,9240.1863956749,9898.14715040065,11432.1852615729,11292.0525721672,10524.1617697379,9877.38782783415,7928.82529981527,6920.36107637437,6934.05425999502,6434.47751929134,6044.06469786929,5033.40422660596,3836.76798019513,3185.41636079083,2451.60628883078,1641.04660520586,759.062568672259,234.062087413035,54.8105246731484
Distrito,Sur,Varón,74263.0684075667,5350.60543588084,5152.46451704447,5477.33111443155,6187.03091518772,6524.77029468614,6354.06786847272,5884.10403886877,4692.73331620014,4260.57784771265,4308.14963113423,4261.93293932944,3977.05864616134,3429.56255688608,2795.90585911129,2208.90914957393,1694.87345324327,1057.62767999259,488.693027666764,133.210267820839,23.4598481619356
Distrito,Sur,Mujer,81457.6760653288,5159.94928242521,4865.14085551955,5240.88287712701,6122.44658625117,6358.29950980356,6337.41625766344,6187.30254477633,5051.92542498814,4468.5658282327,4687.98288754013,4826.83273331999,4530.74708025293,4174.8267203193,3635.18265299979,3135.07352590533,2759.19390560699,2174.70408115189,1237.37042800932,396.557184444858,107.275698991134
Distrito,Sur,Total,155720.744472896,10510.5547183061,10017.605372564,10718.2139915586,12309.4775014389,12883.0698044897,12691.4841261362,12071.4065836451,9744.65874118829,8729.14367594535,8996.13251867436,9088.76567264944,8507.80572641427,7604.38927720539,6431.08851211108,5343.98267547927,4454.06735885026,3232.33176114448,1726.06345567608,529.767452265697,130.73554715307
Ciudad,Rosario,Varón,480099.394493605,35491.5511988047,33064.523270779,34867.7325090442,40076.8851577285,45002.3869150004,44169.5623052516,41288.2664082721,31708.1175043253,27537.5963151739,27049.2049307118,25907.1368679194,23926.9124117051,20349.2855670099,16280.0682676487,12943.4380449807,9937.37841004901,6436.52925024743,3054.04568799017,831.758253014082,177.015217949151
Ciudad,Rosario,Mujer,531139.4932401,34445.4552421293,31835.0139557467,34112.7519409237,40205.9143226192,46183.9101769742,44558.7825133929,42571.0935600361,33508.1276723865,29245.8998040567,29458.1047942487,29426.1140922097,27969.4707927005,25363.2949332563,21449.7657171516,18684.7027042471,16621.3024227314,13685.6223322855,8162.96080361897,2832.24348718641,818.961972198481
Ciudad,Rosario,Total,1011238.88773371,69937.0064409341,64899.5372265257,68980.4844499679,80282.7994803477,91186.2970919746,88728.3448186445,83859.3599683082,65216.2451767118,56783.4961192306,56507.3097249605,55333.2509601291,51896.3832044055,45712.5805002662,37729.8339848003,31628.1407492278,26558.6808327804,20122.151582533,11217.0064916091,3664.00174020049,995.977190147631
